,slot,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used,value,num_tx,block_number,timestamp_ms,timestamp,relay,builder_label,slot_time,max_bid
141,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x63c85f13253a50c545fb11e411ae06d5b44a83b9069778aa9006cbba37d926d8,0x8c75cfb66562e7d8c39ef6dfd40b2f464a058f0ff939a1fd535f18c85a74100a1298555d3931367e9655504c4a9f38bf,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,14698024,137742614262878629,192,19190997,1707486862354,1707486862,bloxroute_regulated,,11354,155879243420513583
142,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x821eba2d679efe338c532a3330b75d975d040457496e1ecbc96fde24651ca06a,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18470251,139404316605020363,236,19190997,1707486862355,1707486862,bloxroute_regulated,,11355,155879243420513583
143,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x63c85f13253a50c545fb11e411ae06d5b44a83b9069778aa9006cbba37d926d8,0x8c75cfb66562e7d8c39ef6dfd40b2f464a058f0ff939a1fd535f18c85a74100a1298555d3931367e9655504c4a9f38bf,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,14698024,137742614262878629,192,19190997,1707486862360,1707486862,bloxroute_max_profit,,11360,155879243420513583
144,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xb91d0c4c9a203a8e826571c02c95f503a0f2452cf56d1afd36d320deefb66434,0x93582c97ac58670ba118aae52cf6355d8c680a2a538bf77c90873e3fe7ddc0a6dd231e2e2ea06bdc07e9b160883512a3,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18437902,137839618605020363,235,19190997,1707486862367,1707486862,bloxroute_regulated,,11367,155879243420513583
145,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xf613323221f6483b9ef19051ad0b1cb4301df44fc0d2800c5953ba40e57e2f84,0x88e1d82a11804c7f4596b2b0aecf19f62f4a6cf1e893c152242b0ca15374b9085755870e3c3456789befa618bbccadc8,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18308876,139987623917839236,237,19190997,1707486862373,1707486862,bloxroute_max_profit,,11373,155879243420513583
146,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x183d630a1bca719c918f70ee5a86a20fac618ea74d93e2058037c6acb0a2022c,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,19411929,134906123648690419,214,19190997,1707486862388,1707486862,bloxroute_max_profit,,11388,155879243420513583
147,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xc2af716a595dec0f3cfe9174b9c5a73ba2472135e72e9391f088f4a14e228f9d,0x8c75cfb66562e7d8c39ef6dfd40b2f464a058f0ff939a1fd535f18c85a74100a1298555d3931367e9655504c4a9f38bf,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18080482,137801962810455087,234,19190997,1707486862391,1707486862,bloxroute_regulated,,11391,155879243420513583
148,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xc2af716a595dec0f3cfe9174b9c5a73ba2472135e72e9391f088f4a14e228f9d,0x8c75cfb66562e7d8c39ef6dfd40b2f464a058f0ff939a1fd535f18c85a74100a1298555d3931367e9655504c4a9f38bf,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18080482,137801962810455087,234,19190997,1707486862392,1707486862,bloxroute_max_profit,,11392,155879243420513583
149,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x23b4989a973267f5903c0447525957b2a2cac52a59531be46b3a19b1431e4e71,0x9696a296508895203ad55c8bc02a8c857efecd56286feda28e5d44440221143ab16a29e44016c4c922961cdeaaf8cb51,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,17559819,139657102623273960,233,19190997,1707486862404,1707486862,bloxroute_max_profit,,11404,155879243420513583
150,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x40aeaaf2751e18c8500b8999867362a5fd64d4e0ae9b760ffd2f0d8b102960c4,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,19411929,144348531751697975,214,19190997,1707486862421,1707486862,bloxroute_max_profit,,11421,155879243420513583
151,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x24220bafb249a8da35aa926268695cbb03b33c3d84641ffb94ee2adb2661e783,0x93582c97ac58670ba118aae52cf6355d8c680a2a538bf77c90873e3fe7ddc0a6dd231e2e2ea06bdc07e9b160883512a3,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18491251,137904702406961363,237,19190997,1707486862428,1707486862,bloxroute_max_profit,,11428,155879243420513583
152,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x8d392df665339859d4ec08e6238518489bc1d3ac776208bb4f3453a620b05a9b,0xaec4ec48c2ec03c418c599622980184e926f0de3c9ceab15fc059d617fa0eafe7a0c62126a4657faf596a1b211eec347,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18308876,139987623917839236,237,19190997,1707486862431,1707486862,bloxroute_max_profit,beaverbuild.org,11431,155879243420513583
