,block_number,block_slot,block_time,validator_index,withdrawal_amount,withdrawal_recipient
139,19238721,8436775,2024-02-16 06:35:23.000 UTC,1118330,0.017623991,0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39
140,19238721,8436775,2024-02-16 06:35:23.000 UTC,1118329,0.017664602,0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39
141,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112655,0.017452444,0xea7d82ce184571773a7997871a6997cce470b079
142,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112654,0.017558072,0xea7d82ce184571773a7997871a6997cce470b079
143,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112653,0.017651808,0xea7d82ce184571773a7997871a6997cce470b079
144,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112652,0.017687125,0xea7d82ce184571773a7997871a6997cce470b079
145,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112651,0.017447457,0xea7d82ce184571773a7997871a6997cce470b079
146,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112650,0.017393615,0xea7d82ce184571773a7997871a6997cce470b079
147,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112649,0.017600025,0xea7d82ce184571773a7997871a6997cce470b079
148,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112648,0.017613424,0xea7d82ce184571773a7997871a6997cce470b079
149,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112647,0.017298941,0xea7d82ce184571773a7997871a6997cce470b079
150,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112646,0.017611818,0xea7d82ce184571773a7997871a6997cce470b079
151,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112645,0.060861791,0xea7d82ce184571773a7997871a6997cce470b079
152,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112644,0.017698474,0xea7d82ce184571773a7997871a6997cce470b079
153,19238385,8436436,2024-02-16 05:27:35.000 UTC,1112643,0.017635271,0xea7d82ce184571773a7997871a6997cce470b079
